iter	RMSE
0	23.65503831
1	22.15310972
2	20.70186255
3	19.39124875
4	18.18551431
5	17.08487341
6	16.08462486
7	15.14488304
8	14.27290567
9	13.41992719
10	12.6956218
11	11.93457371
12	11.30502214
13	10.69150877
14	10.13671898
15	9.632861521
16	9.124186719
17	8.677101476
18	8.263463633
19	7.903122016
20	7.530822031
21	7.201904524
22	6.896312415
23	6.612911796
24	6.364981163
25	6.111400632
26	5.87495933
27	5.689720341
28	5.50556184
29	5.32422682
30	5.156171296
31	4.993715832
32	4.834736702
33	4.707919463
34	4.58075029
35	4.46663654
36	4.357054575
37	4.259284493
38	4.168140224
39	4.081471514
40	3.998045368
41	3.906292735
42	3.819519491
43	3.747695061
44	3.685532611
45	3.626603426
46	3.55581105
47	3.500205156
48	3.440600126
49	3.387380871
50	3.336002408
51	3.28811215
52	3.247649652
53	3.204971597
54	3.15785144
55	3.120316433
56	3.088745615
57	3.050298609
58	3.009341645
59	2.979879168
60	2.953096012
61	2.923210753
62	2.897552043
63	2.869353388
64	2.840834881
65	2.81572381
66	2.789709072
67	2.761076514
68	2.738414996
69	2.71875597
70	2.702596923
71	2.684712871
72	2.66219151
73	2.640145216
74	2.621656067
75	2.598553593
76	2.580867027
77	2.567438257
78	2.553457151
79	2.538043558
80	2.519569
81	2.491307078
82	2.469522643
83	2.457542566
84	2.441134021
85	2.425587044
86	2.409848281
87	2.393109253
88	2.375326331
89	2.361563858
90	2.347332232
91	2.335591858
92	2.324671368
93	2.316607327
94	2.294332141
95	2.285523695
96	2.273599456
97	2.262025711
98	2.247842186
99	2.239337048
100	2.229810866
101	2.21598378
102	2.200351818
103	2.186564478
104	2.175756024
105	2.164782479
106	2.157281135
107	2.143758804
108	2.132413522
109	2.119899787
110	2.11144582
111	2.102042134
112	2.089369041
113	2.073886749
114	2.065965184
115	2.058627495
116	2.047801678
117	2.040639331
118	2.032250367
119	2.023894147
120	2.014694199
121	2.007296691
122	1.998295851
123	1.990456186
124	1.982271962
125	1.971820296
126	1.966164927
127	1.960559041
128	1.950293251
129	1.943650814
130	1.936021673
131	1.927533463
132	1.917393107
133	1.910011687
134	1.901862267
135	1.89304783
136	1.885871303
137	1.880492073
138	1.870488949
139	1.863913723
140	1.859409621
141	1.853667508
142	1.846646896
143	1.841498298
144	1.834389549
145	1.829557827
146	1.824627895
147	1.820106425
148	1.812711991
149	1.806665904
150	1.796705232
151	1.787030445
152	1.781684875
153	1.771514091
154	1.765576337
155	1.759707515
156	1.75405212
157	1.744638905
158	1.738275295
159	1.731691726
160	1.727006462
161	1.722491162
162	1.716254653
163	1.709529203
164	1.701521234
165	1.694960193
166	1.686605953
167	1.681077018
168	1.676945321
169	1.670203423
170	1.661837842
171	1.657077595
172	1.64994803
173	1.645326801
174	1.640877329
175	1.635955056
176	1.630744268
177	1.626886956
178	1.622773273
179	1.616646478
180	1.613461754
181	1.607500877
182	1.60418763
183	1.599501386
184	1.59358556
185	1.58774353
186	1.58364962
187	1.581366173
188	1.576642
189	1.572350629
190	1.568046288
191	1.564663557
192	1.561275003
193	1.557381932
194	1.552787482
195	1.548389181
196	1.545662504
197	1.540514679
198	1.536612131
199	1.532361619
200	1.52772687
201	1.524211716
202	1.51960274
203	1.516481156
204	1.510979456
205	1.508177499
206	1.502632939
207	1.498717536
208	1.49494584
209	1.491512968
210	1.489181581
211	1.485506127
212	1.482178123
213	1.479022852
214	1.475478307
215	1.471767565
216	1.468942031
217	1.463927972
218	1.457494384
219	1.455379159
220	1.452715448
221	1.44997465
222	1.4472755
223	1.443563269
224	1.440701228
225	1.43633787
226	1.434007794
227	1.430760624
228	1.427592123
229	1.423413385
230	1.421388543
231	1.417736882
232	1.415039087
233	1.412896547
234	1.410069705
235	1.405756084
236	1.403493415
237	1.399875973
238	1.397157186
239	1.3950844
240	1.391396804
241	1.389890409
242	1.387461278
243	1.384142586
244	1.382429988
245	1.378395536
246	1.376401702
247	1.371891923
248	1.369293706
249	1.366413734
250	1.364202338
251	1.361940453
252	1.358523478
253	1.355451722
254	1.352612513
255	1.349895297
256	1.346812058
257	1.34428277
258	1.341440582
259	1.338110833
260	1.335287101
261	1.332696966
262	1.328879493
263	1.326907381
264	1.323950757
265	1.322106719
266	1.319113978
267	1.316816012
268	1.315331634
269	1.312818887
270	1.31042888
271	1.308579976
272	1.305013044
273	1.301953726
274	1.298818653
275	1.296397035
276	1.292950841
277	1.290619634
278	1.288438272
279	1.28649224
280	1.284349858
281	1.282574666
282	1.279730901
283	1.278181902
284	1.276438796
285	1.275135444
286	1.271740096
287	1.269194183
288	1.266673767
289	1.26411659
290	1.262000589
291	1.259776512
292	1.258694214
293	1.255563462
294	1.253019548
295	1.251255639
296	1.248521068
297	1.245376477
298	1.243580195
299	1.24117401
300	1.238873917
301	1.23604837
302	1.233515405
303	1.232384223
304	1.230694958
305	1.228507951
306	1.227446799
307	1.224364197
308	1.222851638
309	1.221089063
310	1.218027023
311	1.214875481
312	1.213466709
313	1.211674823
314	1.209519733
315	1.207475714
316	1.205122059
317	1.202956434
318	1.200206012
319	1.199125829
320	1.198295993
321	1.196227338
322	1.19394627
323	1.191884868
324	1.189762318
325	1.18848089
326	1.18713951
327	1.185534796
328	1.184425079
329	1.182214747
330	1.179714025
331	1.178729193
332	1.177139802
333	1.175263615
334	1.173324891
335	1.171250603
336	1.168825668
337	1.167681305
338	1.166306606
339	1.164050643
340	1.162459577
341	1.161080914
342	1.159908895
343	1.15839851
344	1.1568548
345	1.15602223
346	1.154669734
347	1.153626285
348	1.152391194
349	1.150581709
350	1.148672463
351	1.14788621
352	1.147072629
353	1.145205863
