iter	Passed	Remaining
0	24	24565
1	30	15139
2	34	11587
3	40	9978
4	44	8766
5	47	7941
6	52	7389
7	56	6945
8	60	6609
9	64	6346
10	67	6102
11	71	5906
12	75	5749
13	79	5595
14	83	5483
15	87	5382
16	92	5338
17	97	5299
18	101	5248
19	106	5241
20	112	5226
21	117	5201
22	121	5165
23	125	5107
24	129	5059
25	133	4997
26	137	4951
27	141	4907
28	145	4860
29	149	4821
30	152	4779
31	157	4752
32	161	4723
33	165	4692
34	169	4676
35	173	4651
36	177	4620
37	181	4589
38	185	4561
39	189	4543
40	193	4516
41	197	4497
42	201	4479
43	205	4459
44	209	4438
45	212	4415
46	216	4398
47	220	4378
48	224	4361
49	228	4340
50	232	4323
51	236	4302
52	239	4282
53	243	4273
54	247	4260
55	251	4245
56	255	4230
57	259	4213
58	263	4200
59	267	4187
60	271	4176
61	275	4161
62	278	4147
63	282	4133
64	286	4125
65	290	4111
66	294	4098
67	298	4096
68	302	4084
69	306	4073
70	310	4063
71	314	4049
72	317	4034
73	321	4025
74	325	4012
75	329	4002
76	333	3992
77	336	3979
78	340	3972
79	344	3963
80	348	3953
81	352	3942
82	357	3945
83	362	3952
84	367	3952
85	371	3944
86	375	3939
87	379	3933
88	383	3924
89	387	3913
90	391	3907
91	395	3899
92	399	3892
93	403	3885
94	407	3878
95	410	3868
96	414	3861
97	418	3855
98	422	3846
99	426	3839
100	430	3828
101	434	3823
102	438	3816
103	442	3811
104	446	3802
105	450	3798
106	454	3791
107	458	3785
108	462	3781
109	466	3775
110	470	3769
111	474	3761
112	478	3755
113	482	3749
114	486	3741
115	490	3737
116	494	3729
117	498	3725
118	502	3721
119	506	3716
120	510	3710
121	514	3704
122	518	3699
123	522	3694
124	526	3688
125	530	3682
126	535	3677
127	538	3671
128	542	3663
129	546	3656
130	550	3652
131	554	3647
132	558	3642
133	562	3637
134	566	3632
135	571	3628
136	574	3621
137	578	3612
138	582	3607
139	586	3603
140	590	3598
141	594	3591
142	598	3585
143	602	3580
144	606	3574
145	610	3570
146	614	3566
147	618	3558
148	622	3555
149	626	3549
150	630	3542
151	633	3536
152	637	3531
153	641	3525
154	645	3520
155	649	3515
156	653	3509
157	657	3503
158	661	3498
159	665	3495
160	669	3491
161	673	3486
162	678	3482
163	682	3478
164	685	3470
165	689	3464
166	694	3463
167	698	3460
168	702	3453
169	706	3450
170	710	3446
171	715	3442
172	719	3439
173	723	3436
174	727	3431
175	732	3427
176	735	3421
177	739	3417
178	744	3412
179	747	3407
180	752	3403
181	755	3397
182	759	3392
183	763	3386
184	767	3381
185	771	3377
186	775	3371
187	779	3367
188	783	3363
189	787	3357
190	791	3352
191	795	3347
192	799	3342
193	804	3343
194	808	3337
195	812	3333
196	816	3329
197	820	3324
198	824	3320
199	829	3316
200	832	3310
201	836	3304
202	840	3299
203	844	3295
204	848	3290
205	852	3285
206	856	3279
207	860	3276
208	864	3271
209	868	3266
210	872	3262
211	876	3257
212	880	3253
213	884	3247
214	888	3242
215	891	3236
216	895	3232
217	899	3227
218	903	3223
219	908	3219
220	912	3216
221	916	3210
222	920	3206
223	924	3201
224	927	3196
225	932	3192
226	936	3188
227	940	3182
228	944	3179
229	948	3175
230	952	3172
231	956	3167
232	961	3163
233	965	3160
234	969	3155
235	973	3151
236	977	3146
237	981	3141
238	985	3136
239	988	3131
240	993	3128
241	997	3124
242	1001	3119
243	1005	3115
244	1009	3111
245	1013	3106
246	1017	3102
247	1021	3098
248	1026	3095
249	1030	3090
250	1034	3087
251	1038	3082
252	1042	3078
253	1046	3074
254	1050	3069
255	1055	3068
256	1059	3063
257	1063	3059
258	1068	3057
259	1072	3052
260	1076	3049
261	1081	3044
262	1085	3041
263	1089	3036
264	1093	3032
265	1097	3027
266	1101	3023
267	1105	3018
268	1109	3015
269	1113	3011
270	1117	3007
271	1122	3003
272	1126	2998
273	1129	2993
274	1133	2989
275	1138	2985
276	1142	2981
277	1146	2977
278	1150	2973
279	1154	2968
280	1158	2963
281	1162	2960
282	1167	2956
283	1171	2954
284	1176	2951
285	1180	2947
286	1185	2944
287	1189	2941
288	1194	2938
289	1198	2935
290	1203	2932
291	1208	2929
292	1212	2925
293	1217	2923
294	1221	2919
295	1226	2915
296	1230	2912
297	1234	2909
298	1239	2905
299	1243	2902
300	1248	2900
301	1253	2897
302	1258	2894
303	1263	2891
304	1267	2888
305	1272	2885
306	1276	2881
307	1280	2876
308	1284	2873
309	1289	2869
310	1293	2864
311	1297	2860
312	1301	2855
313	1305	2852
314	1309	2846
315	1313	2842
316	1317	2838
317	1321	2834
318	1325	2830
319	1329	2825
320	1334	2822
321	1338	2818
322	1342	2813
323	1346	2810
324	1350	2804
325	1354	2799
326	1358	2794
327	1362	2790
328	1366	2786
329	1370	2781
330	1374	2777
331	1378	2772
332	1382	2769
333	1386	2765
334	1390	2760
335	1394	2756
336	1398	2752
337	1402	2746
338	1406	2742
339	1410	2737
340	1414	2733
341	1418	2729
342	1422	2725
343	1426	2721
344	1431	2716
345	1434	2711
346	1438	2706
347	1442	2702
348	1446	2697
349	1450	2692
350	1453	2688
351	1457	2683
352	1462	2679
353	1466	2676
354	1470	2671
355	1474	2667
356	1478	2662
357	1482	2657
358	1486	2654
359	1490	2649
360	1495	2646
361	1499	2642
362	1503	2638
363	1507	2634
364	1512	2630
365	1515	2625
366	1520	2621
367	1524	2617
368	1528	2613
369	1532	2608
370	1536	2604
371	1540	2600
372	1544	2595
373	1548	2591
374	1552	2587
375	1556	2583
376	1561	2579
377	1564	2574
378	1568	2570
379	1572	2566
380	1577	2562
381	1581	2557
382	1585	2554
383	1589	2549
384	1593	2545
385	1597	2540
386	1601	2536
387	1605	2531
388	1609	2527
389	1613	2523
390	1616	2518
391	1620	2514
392	1624	2509
393	1628	2505
394	1633	2501
395	1637	2497
396	1642	2494
397	1646	2489
398	1650	2485
399	1654	2481
400	1658	2477
401	1662	2473
402	1666	2469
403	1671	2466
404	1675	2462
405	1679	2457
406	1683	2452
407	1687	2448
408	1691	2444
409	1695	2440
410	1699	2435
411	1703	2431
412	1707	2427
413	1711	2422
414	1715	2418
415	1719	2414
416	1723	2409
417	1727	2405
418	1731	2400
419	1735	2396
420	1739	2392
421	1743	2387
422	1747	2383
423	1751	2379
424	1756	2376
425	1759	2371
426	1763	2367
427	1768	2362
428	1772	2359
429	1776	2355
430	1780	2350
431	1784	2346
432	1788	2341
433	1792	2337
434	1796	2333
435	1800	2329
436	1804	2325
437	1808	2320
438	1812	2316
439	1816	2311
440	1820	2307
441	1823	2302
442	1827	2297
443	1831	2293
444	1835	2289
445	1839	2284
446	1842	2279
447	1847	2276
448	1851	2271
449	1855	2267
450	1859	2263
451	1863	2259
452	1867	2255
453	1872	2251
454	1876	2247
455	1880	2243
456	1884	2239
457	1888	2234
458	1891	2229
459	1896	2226
460	1900	2222
461	1904	2217
462	1908	2213
463	1912	2209
464	1917	2206
465	1922	2202
466	1925	2198
467	1930	2194
468	1934	2189
469	1938	2185
470	1942	2181
471	1946	2177
472	1950	2173
473	1954	2169
474	1959	2165
475	1963	2161
476	1967	2157
477	1971	2153
478	1975	2148
479	1979	2144
480	1983	2140
481	1987	2136
482	1992	2132
483	1996	2128
484	2000	2124
485	2004	2120
486	2008	2115
487	2012	2111
488	2016	2107
489	2020	2103
490	2024	2099
491	2028	2094
492	2033	2090
493	2037	2087
494	2041	2083
495	2046	2079
496	2050	2075
497	2054	2071
498	2058	2066
499	2063	2063
500	2067	2058
501	2071	2055
502	2075	2050
503	2080	2047
504	2084	2042
505	2088	2038
506	2092	2034
507	2096	2030
508	2100	2026
509	2104	2021
510	2108	2017
511	2112	2013
512	2117	2009
513	2121	2005
514	2125	2001
515	2129	1997
516	2134	1993
517	2138	1989
518	2142	1985
519	2146	1981
520	2150	1977
521	2155	1973
522	2159	1969
523	2164	1965
524	2168	1961
525	2172	1958
526	2176	1953
527	2180	1949
528	2184	1945
529	2188	1940
530	2192	1936
531	2196	1932
532	2200	1928
533	2204	1923
534	2208	1919
535	2212	1915
536	2216	1910
537	2220	1906
538	2224	1902
539	2228	1898
540	2232	1894
541	2236	1890
542	2241	1886
543	2245	1882
544	2249	1878
545	2253	1873
546	2257	1869
547	2261	1865
548	2265	1861
549	2269	1856
550	2274	1853
551	2278	1848
552	2282	1844
553	2286	1840
554	2290	1836
555	2294	1832
556	2298	1828
557	2302	1824
558	2307	1820
559	2311	1816
560	2315	1811
561	2319	1807
562	2323	1803
563	2327	1799
564	2331	1794
565	2335	1790
566	2339	1786
567	2344	1782
568	2348	1778
569	2351	1774
570	2356	1770
571	2361	1766
572	2365	1762
573	2370	1758
574	2374	1754
575	2378	1750
576	2383	1747
577	2387	1743
578	2391	1738
579	2395	1734
580	2399	1730
581	2403	1726
582	2407	1721
583	2411	1718
584	2416	1714
585	2420	1710
586	2424	1706
587	2428	1701
588	2432	1697
589	2436	1693
590	2440	1689
591	2444	1684
592	2448	1680
593	2452	1676
594	2456	1672
595	2461	1668
596	2465	1664
597	2469	1660
598	2473	1655
599	2478	1652
600	2481	1647
601	2485	1643
602	2490	1639
603	2494	1635
604	2498	1631
605	2502	1626
606	2506	1622
607	2510	1618
608	2514	1614
609	2518	1610
610	2523	1606
611	2527	1602
612	2531	1597
613	2534	1593
614	2539	1589
615	2543	1585
616	2546	1580
617	2550	1576
618	2555	1572
619	2559	1568
620	2563	1564
621	2568	1560
622	2572	1556
623	2576	1552
624	2581	1548
625	2585	1544
626	2589	1540
627	2594	1536
628	2597	1532
629	2602	1528
630	2606	1523
631	2609	1519
632	2613	1515
633	2617	1511
634	2621	1506
635	2625	1502
636	2630	1498
637	2633	1494
638	2638	1490
639	2642	1486
640	2646	1482
641	2651	1478
642	2655	1474
643	2659	1470
644	2663	1465
645	2668	1462
646	2672	1458
647	2676	1454
648	2681	1450
649	2685	1446
650	2690	1442
651	2694	1438
652	2698	1433
653	2703	1430
654	2707	1426
655	2711	1421
656	2715	1417
657	2720	1413
658	2724	1409
659	2728	1405
660	2732	1401
661	2736	1397
662	2741	1393
663	2745	1389
664	2749	1385
665	2753	1380
666	2757	1376
667	2762	1372
668	2766	1368
669	2770	1364
670	2774	1360
671	2778	1356
672	2782	1351
673	2786	1347
674	2790	1343
675	2794	1339
676	2799	1335
677	2803	1331
678	2807	1327
679	2812	1323
680	2816	1319
681	2820	1315
682	2825	1311
683	2829	1307
684	2834	1303
685	2838	1299
686	2843	1295
687	2846	1291
688	2851	1287
689	2855	1283
690	2860	1279
691	2864	1274
692	2868	1270
693	2872	1266
694	2876	1262
695	2880	1258
696	2884	1254
697	2889	1249
698	2893	1245
699	2897	1241
700	2901	1237
701	2905	1233
702	2909	1229
703	2914	1225
704	2918	1221
705	2922	1217
706	2927	1213
707	2931	1208
708	2935	1204
709	2940	1200
710	2943	1196
711	2947	1192
712	2952	1188
713	2956	1184
714	2960	1180
715	2964	1176
716	2968	1171
717	2973	1167
718	2977	1163
719	2981	1159
720	2985	1155
721	2989	1151
722	2993	1146
723	2997	1142
724	3001	1138
725	3006	1134
726	3010	1130
727	3014	1126
728	3018	1122
729	3022	1118
730	3027	1113
731	3031	1109
732	3035	1105
733	3040	1101
734	3045	1097
735	3048	1093
736	3053	1089
737	3057	1085
738	3061	1081
739	3065	1077
740	3069	1072
741	3073	1068
742	3077	1064
743	3081	1060
744	3085	1056
745	3089	1052
746	3094	1048
747	3098	1043
748	3102	1039
749	3107	1035
750	3111	1031
751	3115	1027
752	3119	1023
753	3123	1019
754	3127	1015
755	3132	1010
756	3136	1006
757	3140	1002
758	3145	998
759	3149	994
760	3153	990
761	3158	986
762	3162	982
763	3166	978
764	3170	974
765	3175	969
766	3179	965
767	3183	961
768	3187	957
769	3190	953
770	3194	948
771	3199	944
772	3202	940
773	3207	936
774	3211	932
775	3216	928
776	3220	924
777	3224	920
778	3228	915
779	3232	911
780	3236	907
781	3240	903
782	3244	899
783	3249	895
784	3253	891
785	3257	887
786	3262	882
787	3266	878
788	3270	874
789	3274	870
790	3278	866
791	3282	862
792	3287	858
793	3291	854
794	3295	849
795	3299	845
796	3303	841
797	3307	837
798	3311	833
799	3315	828
800	3320	824
801	3324	820
802	3328	816
803	3332	812
804	3336	808
805	3340	804
806	3345	799
807	3348	795
808	3353	791
809	3357	787
810	3361	783
811	3366	779
812	3370	775
813	3374	771
814	3378	766
815	3382	762
816	3386	758
817	3391	754
818	3395	750
819	3400	746
820	3404	742
821	3409	738
822	3413	734
823	3418	730
824	3421	725
825	3426	721
826	3430	717
827	3434	713
828	3439	709
829	3443	705
830	3447	701
831	3452	697
832	3456	692
833	3460	688
834	3464	684
835	3468	680
836	3473	676
837	3477	672
838	3481	668
839	3485	663
840	3489	659
841	3494	655
842	3498	651
843	3502	647
844	3506	643
845	3511	639
846	3515	635
847	3519	630
848	3524	626
849	3528	622
850	3532	618
851	3537	614
852	3541	610
853	3545	606
854	3549	601
855	3553	597
856	3558	593
857	3562	589
858	3565	585
859	3570	581
860	3574	577
861	3579	573
862	3583	568
863	3588	564
864	3592	560
865	3597	556
866	3601	552
867	3605	548
868	3609	544
869	3614	540
870	3618	535
871	3622	531
872	3625	527
873	3630	523
874	3634	519
875	3638	515
876	3642	510
877	3646	506
878	3650	502
879	3655	498
880	3660	494
881	3664	490
882	3668	486
883	3672	481
884	3676	477
885	3680	473
886	3684	469
887	3688	465
888	3692	461
889	3696	456
890	3700	452
