Feature,CatBoost,Permutation,SHAP,Consensus
Eta_Difference,1.0,1.0,1.0,1.0
Total_PT,0.9973890436230466,0.9338060493780993,0.7201772505481379,0.8837907811830945
Cos_Theta,0.36131444965003207,0.734220547853289,0.7651901967945502,0.6202417314326237
Total_Energy,0.24151951595198673,0.7081802686981185,0.6517473576234387,0.5338157140911813
E1,0.18323224705249938,0.3204536735315266,0.3587732044810158,0.28748637502168056
Phi_Difference,0.12576882154973346,0.2338199892902274,0.27179359924837826,0.21046080336277972
Momentum2,0.12502856297190224,0.23590144873241903,0.2644874658481925,0.20847249251750458
pt1,0.0760127591338702,0.2392849540159103,0.2515468802160073,0.18894819778859592
pt2,0.05701488892961847,0.23591584931686238,0.21866920063739337,0.1705333129612914
Momentum1,0.07943112846434007,0.17106926674829837,0.17822327733684057,0.14290789084982633
E2,0.07107520136717703,0.1643423281516051,0.17879369925495953,0.13807040959124722
PT_Difference,0.0825815747346584,0.14346587007749761,0.09006763966927435,0.10537169482714344
Total_Momentum,0.002379149462465709,0.11090338388357457,0.06053372958462271,0.057938754310221
Momentum_Difference,0.0017444158759154914,0.0109889184942357,0.016807160382129146,0.009846831584093446
Energy_Difference,0.0007417193569420457,0.0029967872418768787,0.009832515871911907,0.004523674156910277
eta1,7.128876577992906e-05,0.00023254344071958977,0.0013428954843827804,0.0005489092302940997
px2,3.524354410903314e-05,0.00014672825743359882,0.0011771346075757998,0.0004530354697061439
pz1,4.7709196516690216e-05,0.00019437757985223619,0.0010674019411256836,0.00043649623916487
pz2,4.491201530521662e-05,0.0001993355215322499,0.001005436985501386,0.0004165615074462842
eta2,4.012480029516779e-05,0.00010871069302691009,0.0010339683371310576,0.0003942679434843785
phi2,1.991910697330293e-05,5.878228304664521e-05,0.0010219647285824693,0.00036688870620080584
px1,2.826654509179545e-05,7.870304901237538e-05,0.0006772830772524187,0.0002614175571188632
py1,3.816507643727175e-05,-5.090287639395503e-06,0.0004958768596299288,0.00017631721614260167
py2,3.311064815380425e-05,5.0090577854513205e-05,0.0002531023844787001,0.0001121012034956725
Charge_Product,7.767788277609769e-06,-3.280233723487781e-05,0.00014626964557630122,4.0411698873011054e-05
phi1,7.297987321803645e-06,3.27577647529123e-05,7.033442129692368e-05,3.679672445721321e-05
Q2,0.0,0.0,0.0,0.0
Q1,0.0,0.0,0.0,0.0
Charge_Difference,0.0,0.0,0.0,0.0
