Feature,Importance
Eta_Difference,29.363338656692537
Total_PT,29.286672260378204
Cos_Theta,10.609398546630375
Total_Energy,7.091819339098642
E1,5.3803105230292925
Phi_Difference,3.6929924996179535
Momentum2,3.671256036303574
PT_Difference,2.4248707457367384
Momentum1,2.3323631249816676
pt1,2.2319883886774297
E2,2.0870052078370356
pt2,1.6741474921140975
Total_Momentum,0.06985977138126863
Momentum_Difference,0.05122187412261752
Energy_Difference,0.0217793566661135
eta1,0.0020932761720136913
pz1,0.0014009012943582708
pz2,0.001318766715161634
eta2,0.0011781980995991686
py1,0.0011206540642861671
px2,0.0010348681211356213
py2,0.0009722391748827456
px1,0.00083000013618506
phi2,0.0005848914837959799
Charge_Product,0.0002280881978089421
phi1,0.000214293273242369
Q2,0.0
Q1,0.0
Charge_Difference,0.0
