Feature,Importance
Eta_Difference,7.496306002900777
Cos_Theta,5.736099865591814
Total_PT,5.3986690464365825
Total_Energy,4.885697629327304
E1,2.6894737264309865
Phi_Difference,2.037447989595626
Momentum2,1.9826789779298197
pt1,1.8856723881742181
pt2,1.6392112413876063
E2,1.3402922810057893
Momentum1,1.336016223756808
PT_Difference,0.6751745879198855
Total_Momentum,0.4537793604631796
Momentum_Difference,0.12599161726427083
Energy_Difference,0.0737075477542304
eta1,0.010066755480846984
px2,0.00882416122499272
pz1,0.008001571578768404
eta2,0.007750943052444881
phi2,0.007660960329625628
pz2,0.007537063309952501
px1,0.005077121197670418
py1,0.0037172446795434213
py2,0.0018973329241161797
Charge_Product,0.0010964820221757959
phi1,0.0005272483445786813
Q2,0.0
Q1,0.0
Charge_Difference,0.0
